school_name,category,value
HOWE,wh_pct,0.6055045871559633
KENNY,wh_pct,0.7078891257995735
KENWOOD,wh_pct,0.6707021791767555
LAKE HARRIET LOWER,wh_pct,0.8541266794625719
LIND,wh_pct,0.06965174129353234
LK NOKOMIS WENONAH,wh_pct,0.6766666666666666
LORING,wh_pct,0.3422982885085575
LUCY LANEY @ CLVLND,wh_pct,0.04914004914004914
LYNDALE,wh_pct,0.3496932515337423
NELLIE STONE JOHNSON,wh_pct,0.03286384976525822
NORTHROP,wh_pct,0.7309236947791165
PILLSBURY,wh_pct,0.16890080428954424
PRATT,wh_pct,0.29347826086956524
SHERIDAN,wh_pct,0.12280701754385964
WAITE PARK,wh_pct,0.5555555555555556
WEBSTER COMMUNITY,wh_pct,0.4107142857142857
WHITTIER,wh_pct,0.21723518850987433
WINDOM,wh_pct,0.459552495697074
ANDERSEN UNITED,wh_pct,0.023230088495575223
ANISHINABE ACAD,wh_pct,0.039603960396039604
BARTON,wh_pct,0.5115961800818554
FIELD,wh_pct,0.7495107632093934
FOLWELL FINE ARTS,wh_pct,0.10743801652892562
HMONG INTERNATIONAL,wh_pct,0.01593625498007968
JEFFERSON,wh_pct,0.03420523138832998
LAKE HARRIET UPPER,wh_pct,0.8627450980392157
LK NOKOMIS KEEWAYDIN,wh_pct,0.521551724137931
MARCY OPEN,wh_pct,0.41655716162943496
SEWARD,wh_pct,0.37946943483275664
